name, latitude, longitude
Balipost-Denpost, -8.649886154936997, 115.22066867086833
NusaBali, -8.634872269691828, 115.25091405444688
Radar Bali, -8.653929435966171, 115.22316275099215
Warta Bali, -8.650976666010289, 115.22065512812708
Fajar Bali, -8.614744088084283, 115.1950711930192
Patroli Post, -8.68737852585914, 115.238171223093
Kompas Bali, -8.66641601695645, 115.22770827026143
Bali TV, -8.626898056803494, 115.18462005793326
Radio Genta FM, -8.62689448086247, 115.18461810606966
Elkoga Radio Bali, -8.652198160221268, 115.22986659314574
Balipuspanews, -8.678286951623537, 115.22700008770397
Radio Gema Merdeka, -8.639953286971489, 115.2530327912914
TVRI Bali, -8.667553965016207, 115.23783826626101
Radio Suara Sunari, -8.640108842493635, 115.25319956503509
Media Siber Wacana Bali, -8.664638108216746, 115.24069582557959
iNews Bali, -8.668243832789104, 115.2157081404432
Antara News, -8.638213639087686, 115.21233419940235
Detik bali, -8.666677923296408, 115.22560425395544
Tribun Bali, -8.676119993450992, 115.23030665264191
Bali Portal News, -8.63920734391655, 115.21588028336295
Bali News, -8.62874137246965, 115.26071593326034
Bale Bengong, -8.602798226793887, 115.22280615346594
Mediabali.id, -8.685304356961108, 115.20246689520366
Literasi Post, -8.643709125869504, 115.24209099999757
Bali ekbis, -8.668340595914739, 115.210304472478
CNN Indonesia (Bali), -8.685384664992128, 115.22086196844775
