name, latitude, longitude
SMP Negeri 1 Gianyar, -8.540357485383625, 115.32286253810481
SMP Negeri 1 Blahbatuh, -8.56207986937586, 115.30089925253927
SMP Negeri 1 Sukawati, -8.59392236710233, 115.28360158021763
SMP Negeri 3 Sukawati, -8.616646994945892, 115.27230175446991
SMP Negeri 4 Sukawati, -8.627168837087027, 115.28074516385345
SMA Negeri 1 Gianyar, -8.542604685784312, 115.33356069671646
SMA Negeri 1 Sukawati, -8.589420664508337, 115.27881992761041
SMA Negeri 1 Blahbatuh, -8.567962976947111, 115.29446099046942
SMA Negeri 1 Payangan, -8.380661078867927, 115.26530076255835
SD Negeri 12 Jimbaran, -8.790247524822194, 115.1871450096215
SMP Negeri 2 Abiansemal, -8.57175990425047, 115.23947550736851
SMP Negeri 3 Abiansemal, -8.57103535624356, 115.22084680263026
SMP Negeri 1 Kuta Utara, -8.647184223860283, 115.1737334571134
SMP Negeri 1 Kuta Selatan, -8.785965490165038, 115.16330529511772
SMP Negeri 2 Kuta Selatan, -8.828566495908259, 115.16430597632747
SMP Negeri 4 Kuta Selatan, -8.79630993756121, 115.21709177370741
SMP Nusa Dua, -8.784169484937896, 115.20409253146693
SMP Taman Rama Jimbaran, -8.801014439088998, 115.1463047687832
SMA Negeri 1 Kuta Utara, -8.614028030955902, 115.17378727717396
SMA Negeri 1 Kuta Selatan, -8.827144928944621, 115.17671244767585
SMA Negeri 1 Kuta, -8.684581106757332, 115.1722054413408
SMA Negeri 1 Mengwi, -8.549268961605922, 115.16925375531113
SMA Negeri 2 Abiansemal, -8.570783621545134, 115.23132467206432
SMK TI Bali Global Badung, -8.626442934093886, 115.18164664104033
SD Saraswati 2 Denpasar, -8.6531041, 115.2259646
SD Saraswati 3 Denpasar, -8.6710790, 115.2394054
SD Saraswati 5 Denpasar, -8.6433401, 115.2491952
SD Saraswati 6 Denpasar, -8.6401192, 115.2300375
SD Cipta Dharma, -8.6576569, 115.2293887
SD Raj Yamuna, -8.6512100, 115.2580230
SD PGRI Kota Denpasar, -8.6471780, 115.2342800
SD Negeri 16 Kesiman, -8.6378820, 115.2609080
SD Negeri 19 Dauh Puri, -8.6748382, 115.2076571
SD Negeri 28 Dangin Puri, -8.6529990, 115.2240916
SD Negeri 1 Sanur, -8.6810680, 115.2485410
SD Negeri 2 Sanur, -8.6744540, 115.2552880
SD Negeri 1 Sumerta, -8.6503950, 115.2341770
SD Bali Public School, -8.6653870, 115.2342106
SD Insan Prestasi, -8.6375170, 115.2299445
SMP Negeri 1 Denpasar, -8.6565457, 115.2195260
SMP Negeri 2 Denpasar, -8.6517490, 115.1992437
SMP Negeri 3 Denpasar, -8.6521491, 115.2255139
SMP Negeri 4 Denpasar, -8.6525041, 115.2038285
SMP Negeri 5 Denpasar, -8.6328669, 115.2003900
SMP Negeri 6 Denpasar, -8.7024923, 115.2172824
SMP Negeri 7 Denpasar, -8.6651935, 115.1992527
SMP Negeri 8 Denpasar, -8.6445762, 115.2347672
SMP Negeri 9 Denpasar, -8.6896022, 115.2592440
SMP Negeri 10 Denpasar, -8.6380309, 115.2137092
SMP Negeri 11 Denpasar, -8.7244144, 115.2308311
SMP Negeri 12 Denpasar, -8.5980704, 115.2218950
SMP Negeri 13 Denpasar, -8.6800827, 115.1759418
SMP Negeri 14 Denpasar, -8.6449701, 115.2480915
SMP Negeri 15 Denpasar, -8.6205055, 115.1853325
SMP Negeri 16 Denpasar, -8.7026787, 115.2357066
SMP Negeri 17 Denpasar, -8.6118894, 115.2427851
SMP Cipta Dharma, -8.6444595, 115.2751583
SMP Santo Yoseph Denpasar, -8.6713616, 115.2177887
SMP Tunas Daud, -8.6252323, 115.1851557
SMP PGRI 2 Denpasar, -8.6457880, 115.2334701
SMP PGRI 3 Denpasar, -8.6547095, 115.2030197
SMP PGRI 7 Denpasar, -8.6754334, 115.2245510
SMP PGRI 8 Denpasar, -8.6324999, 115.2004239
SMP Widya Sakti, -8.6225100, 115.2409820
SMP Ganesha Denpasar, -8.7008675, 115.2120384
SMP (SLUB) Saraswati 1 Denpasar, -8.6525164, 115.2251022
SMP Harapan Nusantara, -8.6210374, 115.1891938
SMP Kristen 1 Harapan Denpasar, -8.6838298, 115.2151861
SMA Negeri 1 Denpasar, -8.6538510, 115.2249570
SMA Negeri 2 Denpasar, -8.6767620, 115.2176170
SMA Negeri 4 Denpasar, -8.6642577, 115.1994414
SMA Negeri 5 Denpasar, -8.7053381, 115.2277067
SMA Negeri 6 Denpasar, -8.6791487, 115.2499217
SMA Negeri 7 Denpasar, -8.6516509, 115.2246657
SMA Negeri 8 Denpasar, -8.5984675, 115.2232459
SMA Negeri 9 Denpasar, -8.6454098, 115.2478276
SMA Negeri 10 Denpasar, -8.7145404, 115.2095478
SMA Negeri 11 Denpasar, -8.6803734, 115.1766677
SMA Negeri 12 Denpasar, -8.7046040, 115.1845940
SMA (SLUA) Saraswati 1 Denpasar, -8.6525164, 115.2251022
SMA Tunas Daud, -8.6252323, 115.1851557
SMAS Dwijendra, -8.6545246, 115.2255482
SMAS Kristen Harapan Denpasar, -8.6835547, 115.2151278
SMAS Katolik Santo Yoseph Denpasar, -8.6710826, 115.2170137
SMK Negeri 1 Denpasar, -8.6379300, 115.2073280
SMK Negeri 2 Denpasar, -8.7032570, 115.2292790
SMK Negeri 3 Denpasar, -8.7006920, 115.2538780
SMK Negeri 4 Denpasar, -8.6584140, 115.2332531
SMK TI Bali Global Denpasar, -8.6834159, 115.2340094

